file,topic,true_label,binary_pred,binary_prob_4_6,multi_pred,prob_4_6,prob_7_12,prob_13+,flesch,avg_word_len,raw_words
bees_and_flowers_13+_01.txt,bees_and_flowers,13+,not-4-6,0.051,13+,0.042,0.276,0.682,59.8,4.45,1071
bees_and_flowers_13+_02.txt,bees_and_flowers,13+,not-4-6,0.05,13+,0.04,0.419,0.54,61.02,4.39,1036
bees_and_flowers_4-6_01.txt,bees_and_flowers,4-6,4-6,0.573,13+,0.32,0.086,0.594,93.3,3.77,449
bees_and_flowers_4-6_01_15min.txt,bees_and_flowers,4-6,4-6,0.714,13+,0.199,0.337,0.464,96.72,3.72,951
bees_and_flowers_4-6_02.txt,bees_and_flowers,4-6,4-6,0.64,13+,0.359,0.078,0.563,93.0,3.87,459
bees_and_flowers_7-12_01.txt,bees_and_flowers,7-12,not-4-6,0.063,13+,0.09,0.44,0.47,61.58,4.33,832
bees_and_flowers_7-12_02.txt,bees_and_flowers,7-12,not-4-6,0.055,13+,0.03,0.119,0.851,59.11,4.54,871
tell_me_a_story_of_the_beginning_of_the_adult01.txt,beginning_of_universe,adult,not-4-6,0.022,13+,0.01,0.094,0.896,52.71,4.66,1145
tell_me_a_story_of_the_beginning_of_the_adult02.txt,beginning_of_universe,adult,not-4-6,0.033,13+,0.035,0.276,0.69,58.36,4.55,1231
tell_me_a_story_of_the_beginning_of_the_universe_13+_01.txt,beginning_of_universe,13+,not-4-6,0.055,13+,0.029,0.161,0.81,57.86,4.54,983
tell_me_a_story_of_the_beginning_of_the_universe_13+_02.txt,beginning_of_universe,13+,not-4-6,0.061,13+,0.024,0.133,0.843,57.03,4.57,1025
tell_me_a_story_of_the_beginning_of_the_universe_7-12_01.txt,beginning_of_universe,7-12,not-4-6,0.035,7-12,0.032,0.681,0.287,61.39,4.43,1422
tell_me_a_story_of_the_beginning_of_the_universe_7-12_02.txt,beginning_of_universe,7-12,not-4-6,0.055,13+,0.058,0.211,0.731,59.63,4.51,845
how_rain_forms_13+_01.txt,how_rain_forms,13+,not-4-6,0.053,13+,0.053,0.299,0.648,62.66,4.46,984
how_rain_forms_13+_02.txt,how_rain_forms,13+,not-4-6,0.055,13+,0.064,0.323,0.614,64.04,4.4,934
how_rain_forms_4-6_01.txt,how_rain_forms,4-6,4-6,0.573,13+,0.232,0.102,0.667,93.65,3.74,534
how_rain_forms_4-6_02.txt,how_rain_forms,4-6,4-6,0.632,13+,0.261,0.064,0.675,94.34,3.84,498
how_rain_forms_7-12_01.txt,how_rain_forms,7-12,not-4-6,0.063,13+,0.1,0.397,0.503,63.1,4.44,815
how_rain_forms_7-12_02.txt,how_rain_forms,7-12,not-4-6,0.058,13+,0.09,0.273,0.637,64.85,4.46,807
moon_and_its_phases_13+_01.txt,moon_and_its_phases,13+,not-4-6,0.08,13+,0.098,0.338,0.564,67.66,4.23,945
moon_and_its_phases_13+_02.txt,moon_and_its_phases,13+,not-4-6,0.072,13+,0.075,0.381,0.545,66.99,4.31,1009
moon_and_its_phases_4-6_01.txt,moon_and_its_phases,4-6,4-6,0.77,13+,0.259,0.096,0.645,95.94,3.8,501
moon_and_its_phases_4-6_02.txt,moon_and_its_phases,4-6,4-6,0.77,13+,0.242,0.088,0.67,96.93,3.79,513
moon_and_its_phases_7-12_01.txt,moon_and_its_phases,7-12,not-4-6,0.091,7-12,0.108,0.784,0.108,66.38,4.26,847
moon_and_its_phases_7-12_02.txt,moon_and_its_phases,7-12,not-4-6,0.143,7-12,0.211,0.428,0.362,71.52,4.15,846
tell_me_a_story_of_Earth_13+_01.txt,story_of_Earth,13+,not-4-6,0.05,13+,0.046,0.393,0.561,64.47,4.38,1046
tell_me_a_story_of_Earth_13+_02.txt,story_of_Earth,13+,not-4-6,0.055,13+,0.056,0.335,0.609,64.54,4.42,986
tell_me_a_story_of_Earth_4-6_02.txt,story_of_Earth,4-6,4-6,0.638,13+,0.237,0.104,0.659,98.63,3.74,529
tell_me_a_story_of_Earth_7-12_01.txt,story_of_Earth,7-12,not-4-6,0.058,13+,0.085,0.333,0.583,65.64,4.35,840
tell_me_a_story_of_Earth_7-12_02.txt,story_of_Earth,7-12,not-4-6,0.133,13+,0.196,0.325,0.479,70.9,4.23,806
tell_me_a_story_of_earth_4-6_01.txt,story_of_Earth,4-6,not-4-6,0.326,13+,0.306,0.109,0.585,95.79,3.69,479
